RBD,NOM_RBD,NOM_COM_RBD,lon,lat,REGION,COD_REGION
269,ESCUELA BASICA SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,-68.1967092,-22.9125174,Antofagasta,2
270,COMPLEJO EDUCACIONAL TOCONAO,SAN PEDRO DE ATACAMA,-68.0058225,-23.1912421,Antofagasta,2
271,ESCUELA BASICA CAMAR,SAN PEDRO DE ATACAMA,-67.9602785,-23.4071264,Antofagasta,2
273,ESCUELA BASICA SOLOR,SAN PEDRO DE ATACAMA,-68.1967092,-22.9125174,Antofagasta,2
274,ESCUELA BASICA SAN ROQUE,SAN PEDRO DE ATACAMA,-57.4849141,-25.3896528,Antofagasta,2
275,ESCUELA BASICA ANDINA,SAN PEDRO DE ATACAMA,-68.1967092,-22.9125174,Antofagasta,2
276,ESCUELA BASICA TALABRE,SAN PEDRO DE ATACAMA,-67.836965,-23.3241106,Antofagasta,2
277,ESCUELA BASICA SAN BARTOLOME,SAN PEDRO DE ATACAMA,-68.2005081,-22.9108639,Antofagasta,2
279,LICEO INDUSTRIAL EULOGIO GORDO MONEO,ANTOFAGASTA,-70.3829086,-23.6138103,Antofagasta,2
280,LICEO COMERCIAL JERARDO MUNOZ CAMPOS,ANTOFAGASTA,-70.3992404,-23.6525124,Antofagasta,2
282,LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL,ANTOFAGASTA,-70.3975022,-23.6509279,Antofagasta,2
283,LICEO TECNICO ANTOFAGASTA,ANTOFAGASTA,-70.4019402,-23.6506867,Antofagasta,2
284,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,ANTOFAGASTA,-70.3988589,-23.6536087,Antofagasta,2
285,LICEO MARTA NAREA DIAZ,ANTOFAGASTA,-70.4007587,-23.6507358,Antofagasta,2
286,LICEO LA PORTADA,ANTOFAGASTA,-70.38216,-23.609262,Antofagasta,2
287,LICEO DOMINGO HERRERA RIVERA,ANTOFAGASTA,-70.387587,-23.6307298,Antofagasta,2
288,ESCUELA JAPON,ANTOFAGASTA,-70.3798928,-23.626147,Antofagasta,2
289,ESCUELA ESPANA,ANTOFAGASTA,-70.3781722,-23.6201389,Antofagasta,2
291,ESCUELA PADRE GUSTAVO LE PAIGE WALQUE,ANTOFAGASTA,-70.3824436,-23.6183805,Antofagasta,2
292,ESCUELA REPUBLICA DE ITALIA,ANTOFAGASTA,-70.3860065,-23.6279636,Antofagasta,2
293,ESCUELA JOSE PAPIC RADNIC,ANTOFAGASTA,-70.381165,-23.596278,Antofagasta,2
294,ESCUELA PROFESORA LJUBICA DOMIC WUTH,ANTOFAGASTA,-70.399488,-23.65208,Antofagasta,2
296,ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS,ANTOFAGASTA,-70.3958021,-23.6579818,Antofagasta,2
297,ESCUELA ALCALDE MAXIMILIANO POBLETE,ANTOFAGASTA,-70.3966593,-23.6608371,Antofagasta,2
298,ESCUELA DARIO SALAS DIAZ,ANTOFAGASTA,-70.3966737,-23.6615326,Antofagasta,2
301,ESCUELA ROMULO J. PENA MATURANA,ANTOFAGASTA,-70.384657,-23.643803,Antofagasta,2
302,ESCUELA JUAN LOPEZ,ANTOFAGASTA,-70.3914,-23.66121,Antofagasta,2
303,ESCUELA REPUBLICA ARGENTINA,ANTOFAGASTA,-70.3932523,-23.6287057,Antofagasta,2
304,LICEO BICENTENARIO ANDRES SABELLA,ANTOFAGASTA,-70.4100566,-23.6750595,Antofagasta,2
305,ESCUELA HUMBERTO GONZALEZ ECHEGOYEN,ANTOFAGASTA,-70.3834654,-23.5893047,Antofagasta,2
306,ESCUELA HUANCHACA,ANTOFAGASTA,-70.390812,-23.640571,Antofagasta,2
310,ESCUELA CLAUDIO MATTE PEREZ,ANTOFAGASTA,-70.3875409,-23.6370852,Antofagasta,2
312,ESCUELA ECUADOR,ANTOFAGASTA,-70.3949877,-23.6352077,Antofagasta,2
313,ESCUELA ARTURO PRAT,ANTOFAGASTA,-70.382332,-23.606935,Antofagasta,2
315,ESCUELA HEROES DE LA CONCEPCION,ANTOFAGASTA,-70.3877186,-23.6257773,Antofagasta,2
316,ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA,ANTOFAGASTA,-70.3890987,-23.6056396,Antofagasta,2
317,ESCUELA LAS ROCAS,ANTOFAGASTA,-70.3937159,-23.5892476,Antofagasta,2
318,ESCUELA EDDA CUNEO DONNAGIO,ANTOFAGASTA,-70.4334407,-23.4345103,Antofagasta,2
319,ESCUELA LA BANDERA,ANTOFAGASTA,-70.377917,-23.5997911,Antofagasta,2
320,ESCUELA ARMANDO CARRERA GONZALEZ,ANTOFAGASTA,-70.4014964,-23.6672711,Antofagasta,2
