"","RBD","NOM_RBD","NOM_COM_RBD","query","lon","lat"
"1984",3108,"COLEGIO PAULA MONTAL","SAN CLEMENTE","COLEGIO PAULA MONTAL ,  SAN CLEMENTE",-117.0745699,32.5363653
"1985",3110,"ESCUELA MAULE","MAULE","ESCUELA MAULE ,  MAULE",-71.6932775,-35.5251439
"1986",3111,"ESCUELA VILLA CULENAR","TALCA","ESCUELA VILLA CULENAR ,  TALCA",-71.6902157,-35.4499405
"1987",3112,"ESCUELA CALLEJONES","MAULE","ESCUELA CALLEJONES ,  MAULE",-71.6408189,-35.5131232
"1988",3113,"ESCUELA COLIN","MAULE","ESCUELA COLIN ,  MAULE",-71.743902,-35.4757023
"1989",3114,"ESCUELA CHACARILLA","MAULE","ESCUELA CHACARILLA ,  MAULE",-71.6567793,-35.4830823
"1990",3115,"ESCUELA RURAL DUAO","MAULE","ESCUELA RURAL DUAO ,  MAULE",-72.1793025,-34.9248074
"1991",3117,"ESCUELA RURAL NUMPAY","MAULE","ESCUELA RURAL NUMPAY ,  MAULE",-71.7057228,-35.4909349
"1992",3118,"ESCUELA QUINIPEUMO","MAULE","ESCUELA QUINIPEUMO ,  MAULE",-71.6376279,-35.551499
"1993",3119,"ESCUELA EL BOLSICO","SAN CLEMENTE","ESCUELA EL BOLSICO ,  SAN CLEMENTE",-71.5598073,-35.5474333
"1994",3121,"ESCUELA EL FUERTE","MAULE","ESCUELA EL FUERTE ,  MAULE",-71.6084876,-35.5218378
"1995",3122,"ESCUELA EL CANELO","MAULE","ESCUELA EL CANELO ,  MAULE",-71.6174991,-35.5388755
"1996",3123,"ESCUELA SANTA ROSA DE LAVADEROS","MAULE","ESCUELA SANTA ROSA DE LAVADEROS ,  MAULE",-71.7444027,-35.5481505
"1997",3124,"ESCUELA LINARES DE PERALES","MAULE","ESCUELA LINARES DE PERALES ,  MAULE",-71.8430942,-35.4693875
"1998",3125,"ESCUELA VILLA COBIN","MAULE","ESCUELA VILLA COBIN ,  MAULE",-71.6902157,-35.4499405
"1999",3126,"LICEO TECNICO AGRICOLA MARIA AUXILIADORA","MAULE","LICEO TECNICO AGRICOLA MARIA AUXILIADORA ,  MAULE",-71.7315436,-35.4655845
"2000",3127,"ESCUELA AGRICOLA SAN JOSE DE DUAO","MAULE","ESCUELA AGRICOLA SAN JOSE DE DUAO ,  MAULE",-71.5952514,-35.5545832
"2001",3128,"LICEO SAN IGNACIO","EMPEDRADO","LICEO SAN IGNACIO ,  EMPEDRADO",-72.2824018,-35.5891627
"2002",3129,"ESCUELA SAN SEBASTIAN DE PUICO","EMPEDRADO","ESCUELA SAN SEBASTIAN DE PUICO ,  EMPEDRADO",-72.2824018,-35.5891627
"2003",3130,"ESCUELA PEDRO ANTONIO TEJOS TEJOS","EMPEDRADO","ESCUELA PEDRO ANTONIO TEJOS TEJOS ,  EMPEDRADO",-72.287429,-35.5351068
"2004",3134,"ESCUELA MARIA OLGA VEGA VEGA","EMPEDRADO","ESCUELA MARIA OLGA VEGA VEGA ,  EMPEDRADO",-72.2169254,-35.6165741
"2005",3138,"COMPLEJO EDUCACIONAL PENCAHUE","PENCAHUE","COMPLEJO EDUCACIONAL PENCAHUE ,  PENCAHUE",-71.797968,-35.3989294
"2006",3139,"ESCUELA PADRE LUIS OLIVA NAVARRETE","PENCAHUE","ESCUELA PADRE LUIS OLIVA NAVARRETE ,  PENCAHUE",-71.7988408,-35.3959587
"2007",3140,"ESCUELA CORINTO","PENCAHUE","ESCUELA CORINTO ,  PENCAHUE",-71.8721914,-35.4416453
"2008",3141,"ESCUELA JOSE MANUEL SALCEDO RAMIREZ","PENCAHUE","ESCUELA JOSE MANUEL SALCEDO RAMIREZ ,  PENCAHUE",-71.7988408,-35.3959587
"2009",3143,"ESCUELA SANTA LAURA DE LO FIGUEROA","PENCAHUE","ESCUELA SANTA LAURA DE LO FIGUEROA ,  PENCAHUE",-71.7597345,-35.4140531
"2010",3146,"ESCUELA LA ESPERANZA DEL FUTURO","PENCAHUE","ESCUELA LA ESPERANZA DEL FUTURO ,  PENCAHUE",-71.9788754,-35.3750196
"2011",3156,"ESCUELA TAPIHUE","PENCAHUE","ESCUELA TAPIHUE ,  PENCAHUE",-71.7237851,-35.2097004
"2012",3158,"ESCUELA LA PATAGUA","PENCAHUE","ESCUELA LA PATAGUA ,  PENCAHUE",-71.7974563,-35.3960652
"2013",3159,"ESCUELA RIVERA DEL MAULE","PENCAHUE","ESCUELA RIVERA DEL MAULE ,  PENCAHUE",-71.7974563,-35.3960652
"2014",3161,"ESCUELA PALMAS DE TOCONEY","PENCAHUE","ESCUELA PALMAS DE TOCONEY ,  PENCAHUE",-72.052215,-35.417327
"2015",3163,"INSTITUTO POLITECNICO SUPERIOR EGIDIO ROZ","CONSTITUCION","INSTITUTO POLITECNICO SUPERIOR EGIDIO ROZ ,  CONSTITUCION",-72.406396,-35.3310509
"2016",3165,"LICEO CONSTITUCION","CONSTITUCION","LICEO CONSTITUCION ,  CONSTITUCION",-72.41025,-35.333185
"2017",3166,"ESCUELA ENRIQUE DONN MULLER","CONSTITUCION","ESCUELA ENRIQUE DONN MULLER ,  CONSTITUCION",-72.4070639,-35.3335159
"2018",3168,"ESCUELA SUPERIOR NUEVA BILBAO","CONSTITUCION","ESCUELA SUPERIOR NUEVA BILBAO ,  CONSTITUCION",-72.4014989,-35.3391965
"2019",3169,"ESCUELA CERRO ALTO JOSE OPAZO DIAZ","CONSTITUCION","ESCUELA CERRO ALTO JOSE OPAZO DIAZ ,  CONSTITUCION",-72.4166049,-35.3432502
"2020",3172,"LICEO RURAL PUTU","CONSTITUCION","LICEO RURAL PUTU ,  CONSTITUCION",-72.2866658,-35.2123945
"2021",3173,"LICEO RURAL ENRIQUE MAC IVER","CONSTITUCION","LICEO RURAL ENRIQUE MAC IVER ,  CONSTITUCION",-72.2773814,-35.4506498
"2022",3174,"ESCUELA LAS CORRIENTES","CONSTITUCION","ESCUELA LAS CORRIENTES ,  CONSTITUCION",-72.1792564,-35.5172415
"2023",3176,"ESCUELA JUNQUILLAR","CONSTITUCION","ESCUELA JUNQUILLAR ,  CONSTITUCION",-72.3508297,-35.2791583
"2024",3177,"ESCUELA MARIA INES MAROMILLAS","CONSTITUCION","ESCUELA MARIA INES MAROMILLAS ,  CONSTITUCION",-72.1762142,-35.387038
